LOCATION,TIME,Value
AUS,2006,775886.237
AUS,2007,826594.305
AUS,2008,852737.657
AUS,2009,903956.56
AUS,2010,943323.0
AUS,2011,992802.546
AUS,2012,997651.363
AUS,2013,1104672.434
AUS,2014,1117601.897
AUS,2015,1124752.51
AUS,2016,1212854.276
AUS,2017,1247085.553
AUS,2018,1323863.624
AUS,2019,1337588.806
AUS,2020,1430866.404
AUS,2021,1595112.956
AUS,2022,1784017.42
AUT,2006,311394.8
AUT,2007,327137.69
AUT,2008,343812.976
AUT,2009,341396.516
AUT,2010,351323.808
AUT,2011,373031.477
AUT,2012,391635.176
AUT,2013,406370.245
AUT,2014,417059.519
AUT,2015,430975.924
AUT,2016,460282.647
AUT,2017,476590.588
AUT,2018,503361.417
AUT,2019,530139.203
AUT,2020,510361.633
AUT,2021,535814.997
AUT,2022,613714.889
BEL,2006,371888.473
BEL,2007,390981.666
BEL,2008,405729.43
BEL,2009,407566.641
BEL,2010,434058.868
BEL,2011,451932.625
BEL,2012,469720.336
BEL,2013,487343.796
BEL,2014,503619.623
BEL,2015,520877.807
BEL,2016,550677.566
BEL,2017,573788.528
BEL,2018,600269.926
BEL,2019,641140.489
BEL,2020,630920.981
BEL,2021,689479.057
BEL,2022,765169.283
CAN,2006,1241618.911
CAN,2007,1301593.852
CAN,2008,1342396.613
CAN,2009,1307000.658
CAN,2010,1363578.975
CAN,2011,1430807.125
CAN,2012,1468094.965
CAN,2013,1554122.745
CAN,2014,1621396.709
CAN,2015,1594850.842
CAN,2016,1678093.396
CAN,2017,1765763.154
CAN,2018,1852987.755
CAN,2019,1873760.081
CAN,2020,1794940.001
CAN,2021,2026899.115
CAN,2022,2271469.345
CZE,2006,244936.694
CZE,2007,270711.922
CZE,2008,290503.947
CZE,2009,289942.416
CZE,2010,292032.224
CZE,2011,304400.914
CZE,2012,307490.199
CZE,2013,324029.978
CZE,2014,342099.837
CZE,2015,357503.881
CZE,2016,381420.335
CZE,2017,411327.86
CZE,2018,437355.916
CZE,2019,471832.671
CZE,2020,458157.819
CZE,2021,479378.76
CZE,2022,525014.413
DNK,2006,202984.122
DNK,2007,213056.909
DNK,2008,226767.494
DNK,2009,222756.489
DNK,2010,238555.117
DNK,2011,247352.237
DNK,2012,250524.599
DNK,2013,262368.12
DNK,2014,270330.607
DNK,2015,278748.365
DNK,2016,297719.06
DNK,2017,319130.165
DNK,2018,333035.355
DNK,2019,348345.911
DNK,2020,354277.793
DNK,2021,387053.183
DNK,2022,442119.714
FIN,2006,181438.129
FIN,2007,200141.702
FIN,2008,212980.742
FIN,2009,202731.154
FIN,2010,208926.59
FIN,2011,220471.171
FIN,2012,221285.636
FIN,2013,225679.983
FIN,2014,228058.636
FIN,2015,232867.602
FIN,2016,246928.493
FIN,2017,262026.563
FIN,2018,273455.993
FIN,2019,286082.927
FIN,2020,289224.32
FIN,2021,303527.426
FIN,2022,330422.255
FRA,2006,2065560.669
FRA,2007,2184595.05
FRA,2008,2259255.844
FRA,2009,2243937.742
FRA,2010,2334557.742
FRA,2011,2446474.544
FRA,2012,2474005.287
FRA,2013,2608523.504
FRA,2014,2662032.873
FRA,2015,2718495.127
FRA,2016,2864105.631
FRA,2017,2983010.673
FRA,2018,3125379.86
FRA,2019,3403158.941
FRA,2020,3262896.418
FRA,2021,3481611.03
FRA,2022,3764758.779
DEU,2006,2813824.86
DEU,2007,2985617.276
DEU,2008,3103958.247
DEU,2009,3015332.321
DEU,2010,3185267.891
DEU,2011,3415019.966
DEU,2012,3487234.448
DEU,2013,3628559.337
DEU,2014,3807114.521
DEU,2015,3889081.896
DEU,2016,4165169.905
DEU,2017,4386729.188
DEU,2018,4576056.532
DEU,2019,4770495.488
DEU,2020,4694786.155
DEU,2021,4913166.143
DEU,2022,5323008.116
GRC,2006,314601.571
GRC,2007,323985.185
GRC,2008,341817.829
GRC,2009,337203.102
GRC,2010,310415.31
GRC,2011,285079.561
GRC,2012,275143.683
GRC,2013,284949.076
GRC,2014,290011.379
GRC,2015,289570.644
GRC,2016,296466.614
GRC,2017,307636.013
GRC,2018,317881.481
GRC,2019,334040.54
GRC,2020,304016.729
GRC,2021,333014.632
GRC,2022,389216.529
HUN,2006,185137.549
HUN,2007,192032.269
HUN,2008,208006.337
HUN,2009,207698.243
HUN,2010,217415.959
HUN,2011,229643.36
HUN,2012,230821.511
HUN,2013,242855.184
HUN,2014,253484.632
HUN,2015,263781.873
HUN,2016,274222.712
HUN,2017,288707.448
HUN,2018,311927.137
HUN,2019,338526.704
HUN,2020,333161.834
HUN,2021,356701.68
HUN,2022,402509.611
ISL,2006,12059.466
ISL,2007,12920.229
ISL,2008,13879.916
ISL,2009,13333.839
ISL,2010,12649.529
ISL,2011,13059.434
ISL,2012,13471.498
ISL,2013,14378.252
ISL,2014,15058.764
ISL,2015,16276.45
ISL,2016,17939.411
ISL,2017,19106.258
ISL,2018,20174.854
ISL,2019,21507.881
ISL,2020,19912.086
ISL,2021,21715.673
ISL,2022,26593.332
IRL,2006,189018.885
IRL,2007,205779.814
IRL,2008,198299.13
IRL,2009,188088.826
IRL,2010,197036.295
IRL,2011,206639.608
IRL,2012,212883.421
IRL,2013,221005.187
IRL,2014,238656.914
IRL,2015,325443.078
IRL,2016,339580.36
IRL,2017,375788.611
IRL,2018,413324.138
IRL,2019,442259.298
IRL,2020,471371.126
IRL,2021,546184.137
IRL,2022,650316.274
ITA,2006,1886859.551
ITA,2007,1995406.894
ITA,2008,2089717.307
ITA,2009,2044893.204
ITA,2010,2083996.379
ITA,2011,2173169.961
ITA,2012,2172383.108
ITA,2013,2187376.607
ITA,2014,2200256.409
ITA,2015,2240922.483
ITA,2016,2420672.141
ITA,2017,2517184.468
ITA,2018,2600326.872
ITA,2019,2735577.365
ITA,2020,2564795.429
ITA,2021,2814257.328
ITA,2022,3112290.717
JPN,2006,4300322.188
JPN,2007,4482081.29
JPN,2008,4517267.524
JPN,2009,4295628.986
JPN,2010,4525401.306
JPN,2011,4629400.467
JPN,2012,4799612.88
JPN,2013,5021591.104
JPN,2014,5034454.619
JPN,2015,5199915.223
JPN,2016,5158900.414
JPN,2017,5262254.967
JPN,2018,5344060.937
JPN,2019,5352898.847
JPN,2020,5263052.866
JPN,2021,5383426.681
JPN,2022,5703678.329
KOR,2006,1302227.991
KOR,2007,1414985.951
KOR,2008,1468996.086
KOR,2009,1454994.406
KOR,2010,1572680.44
KOR,2011,1625275.456
KOR,2012,1684562.928
KOR,2013,1726902.753
KOR,2014,1792600.237
KOR,2015,1933588.947
KOR,2016,2026967.822
KOR,2017,2103651.26
KOR,2018,2220442.286
KOR,2019,2247126.568
KOR,2020,2316806.899
KOR,2021,2435555.581
KOR,2022,2598470.913
LUX,2006,37278.487
LUX,2007,40857.327
LUX,2008,44452.835
LUX,2009,43245.758
LUX,2010,45806.816
LUX,2011,48970.83
LUX,2012,51308.749
LUX,2013,54838.627
LUX,2014,58578.312
LUX,2015,61437.294
LUX,2016,65980.114
LUX,2017,68570.173
LUX,2018,70825.278
LUX,2019,74184.82
LUX,2020,75356.892
LUX,2021,84252.097
LUX,2022,91837.052
MEX,2006,1485717.873
MEX,2007,1560834.849
MEX,2008,1653898.19
MEX,2009,1636084.571
MEX,2010,1740490.338
MEX,2011,1911319.096
MEX,2012,2012767.781
MEX,2013,2064490.947
MEX,2014,2173227.412
MEX,2015,2230188.94
MEX,2016,2383253.082
MEX,2017,2460766.096
MEX,2018,2535949.668
MEX,2019,2529761.704
MEX,2020,2333740.769
MEX,2021,2480684.356
MEX,2022,2757080.197
NLD,2006,670372.239
NLD,2007,719889.129
NLD,2008,763407.575
NLD,2009,736551.017
NLD,2010,748383.899
NLD,2011,777880.907
NLD,2012,792041.828
NLD,2013,827475.788
NLD,2014,830318.43
